Epoch,Precision,Recall,F1
1,0.971604938271605,0.974009900990099,0.972805933250927
2,0.974009900990099,0.974009900990099,0.974009900990099
3,0.974009900990099,0.974009900990099,0.974009900990099
4,0.9727722772277227,0.9727722772277227,0.9727722772277227
5,0.9702970297029703,0.9702970297029703,0.9702970297029703
6,0.9702970297029703,0.9702970297029703,0.9702970297029703
7,0.974009900990099,0.974009900990099,0.974009900990099
8,0.974009900990099,0.974009900990099,0.974009900990099
9,0.974009900990099,0.974009900990099,0.974009900990099
10,0.974009900990099,0.974009900990099,0.974009900990099
11,0.974009900990099,0.974009900990099,0.974009900990099
12,0.974009900990099,0.974009900990099,0.974009900990099
13,0.974009900990099,0.974009900990099,0.974009900990099
14,0.974009900990099,0.974009900990099,0.974009900990099
15,0.9727722772277227,0.9727722772277227,0.9727722772277227
16,0.974009900990099,0.974009900990099,0.974009900990099
17,0.974009900990099,0.974009900990099,0.974009900990099
18,0.974009900990099,0.974009900990099,0.974009900990099
19,0.974009900990099,0.974009900990099,0.974009900990099
20,0.974009900990099,0.974009900990099,0.974009900990099
